Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6;Trq1;Trq2;Trq3;Trq4;Trq5;Trq6
758365;0;25.443928;-138.052094;133.275116;50.123947;90.483246;-143.840714;9.019850;-17.526625;-10.253357;2.224437;-0.534050;0.603188;-283.875000;551.625000;-227.750000;-11.883333;-2.810658;-1.165500
758389;0;25.260756;-137.874557;133.121887;49.962757;90.483246;-143.840714;18.912315;-29.850954;-14.227457;9.336463;-0.810612;0.519750;-595.250000;939.500000;-316.125000;-50.139999;-4.253968;-0.999000
758413;0;24.753122;-137.382553;132.697250;49.516041;90.483246;-143.840714;35.383217;-47.871582;-23.024422;14.412400;-1.115788;0.457763;-1113.625000;1506.750000;-511.500000;-77.433334;-5.925170;-0.888000
758437;0;23.762220;-136.422165;131.868362;48.644047;90.483246;-143.840714;51.031113;-64.008713;-30.885422;22.144314;-1.733300;0.405300;-1606.125000;2014.625000;-686.250000;-118.910004;-9.191610;-0.777000
758461;0;22.143873;-134.853653;130.514618;47.219906;90.483246;-143.840714;65.664291;-78.814507;-38.765491;29.666412;-1.413813;0.309938;-2066.750000;2480.625000;-861.250000;-159.389999;-7.520408;-0.582750
758485;0;19.840332;-132.621048;128.587692;45.192795;90.483253;-143.840729;71.732521;-86.010933;-42.719158;36.213387;-3.559587;0.178813;-2257.750000;2707.125000;-949.125000;-194.503326;-18.914967;-0.333000
758509;0;16.950296;-129.820023;126.170181;42.649570;90.483253;-143.840729;69.399826;-81.702232;-43.314522;37.877552;-1.149175;0.019063;-2184.250000;2571.500000;-962.375000;-203.473328;-6.077097;-0.027750
758533;0;13.633338;-126.605209;123.395538;39.730656;90.483261;-143.840744;64.532272;-69.867126;-39.881290;39.167400;-3.194800;-0.045288;-2031.125000;2199.000000;-886.125000;-210.373337;-16.939909;0.083250
758557;0;10.043364;-123.125786;120.392517;36.571484;90.483261;-143.840744;58.523170;-60.313217;-37.294113;39.870739;-2.882475;-0.042913;-1842.000000;1898.250000;-828.625000;-214.206665;-15.344671;0.083250
758581;0;6.323494;-119.520470;117.280846;33.298008;90.483269;-143.840759;52.280426;-51.728241;-34.540714;37.751190;-2.124300;-0.162113;-1645.500000;1628.125000;-767.375000;-202.783340;-11.242630;0.305250
758605;0;2.579239;-115.891518;114.148773;30.003073;90.483269;-143.840759;48.415180;-47.264095;-32.539364;38.216110;-1.342287;-0.088212;-1523.750000;1487.625000;-723.000000;-205.313339;-7.140590;0.166500
758629;0;-1.164722;-112.262856;111.016937;26.708395;90.483276;-143.840775;49.503326;-44.674870;-33.027100;36.482800;-1.480575;0.007150;-1558.000000;1406.125000;-733.750000;-195.960007;-7.824263;0.000000
758653;0;-4.899269;-108.643318;107.892990;23.422003;90.483276;-143.840790;47.856331;-39.934155;-32.777786;38.878910;-1.912112;-0.121587;-1506.250000;1256.875000;-728.250000;-208.839996;-10.179138;0.222000
758677;0;-8.519123;-105.134933;104.864975;20.236540;90.483284;-143.840790;36.516182;-28.407093;-28.589794;34.072388;-0.920287;-0.257488;-1149.250000;894.000000;-635.250000;-183.003326;-4.861678;0.499500
758701;0;-11.811952;-101.942490;102.109314;17.339981;90.482979;-143.840805;21.143909;-7.460590;-23.271013;27.980801;0.526900;-0.436300;-665.500000;234.750000;-517.000000;-150.266663;2.734694;0.832500
758725;0;-14.578843;-99.216881;99.742943;14.953496;90.469582;-143.840805;7.898330;-1.315115;-21.296906;19.490713;-1.192088;-0.402925;-248.500000;41.375000;-473.125000;-104.650002;-6.304989;0.777000
